iter	Passed	Remaining
535	19594	16962
536	19632	16926
537	19669	16890
538	19707	16855
539	19744	16819
540	19781	16782
541	19819	16747
542	19858	16713
543	19897	16678
544	19936	16644
545	19975	16609
546	20013	16574
547	20047	16535
548	20083	16498
549	20120	16461
550	20158	16427
551	20199	16393
552	20237	16357
553	20275	16322
554	20315	16288
555	20353	16253
556	20390	16217
557	20428	16181
558	20480	16157
559	20517	16121
560	20555	16085
561	20591	16047
562	20628	16012
563	20667	15977
564	20707	15942
565	20744	15906
566	20780	15869
567	20817	15833
568	20855	15797
569	20891	15760
570	20927	15723
571	20962	15685
572	20999	15648
573	21035	15611
574	21075	15577
575	21113	15541
576	21152	15506
577	21190	15471
578	21227	15435
579	21262	15397
580	21299	15360
581	21336	15324
582	21371	15286
583	21408	15249
584	21444	15213
585	21482	15176
586	21517	15139
587	21555	15103
588	21591	15066
589	21627	15029
590	21663	14992
591	21700	14955
592	21737	14919
593	21776	14883
594	21813	14847
595	21851	14812
596	21889	14776
597	21924	14738
598	21962	14702
599	21999	14666
600	22036	14629
601	22073	14593
602	22109	14556
603	22146	14519
604	22183	14483
605	22221	14447
606	22258	14410
607	22295	14374
608	22332	14338
609	22368	14301
610	22406	14265
611	22445	14229
612	22481	14193
613	22519	14157
614	22556	14120
615	22592	14083
616	22628	14046
617	22667	14011
618	22704	13975
619	22742	13938
620	22777	13901
621	22815	13865
622	22855	13830
623	22898	13797
624	22934	13760
625	22972	13724
626	23008	13687
627	23045	13651
628	23083	13615
629	23119	13577
630	23154	13540
631	23191	13504
632	23229	13467
633	23266	13431
634	23304	13395
635	23341	13358
636	23376	13321
637	23413	13284
638	23451	13248
639	23490	13213
640	23528	13177
641	23563	13139
642	23601	13103
643	23637	13066
644	23684	13035
645	23721	12999
646	23760	12963
647	23798	12927
648	23836	12891
649	23871	12853
650	23908	12817
651	23946	12781
652	23983	12744
653	24021	12708
654	24057	12671
655	24092	12633
656	24129	12597
657	24164	12559
658	24199	12521
659	24238	12486
660	24276	12450
661	24313	12413
662	24348	12376
663	24384	12339
664	24421	12302
665	24460	12266
666	24502	12233
667	24537	12195
668	24572	12157
669	24608	12120
670	24645	12084
671	24683	12047
672	24719	12010
673	24755	11973
674	24790	11936
675	24827	11899
676	24863	11862
677	24902	11826
678	24939	11790
679	24977	11754
680	25013	11716
681	25050	11680
682	25087	11643
683	25136	11612
684	25173	11576
685	25208	11538
686	25245	11501
687	25282	11465
688	25321	11429
689	25357	11392
690	25394	11355
691	25428	11317
692	25465	11281
693	25502	11244
694	25540	11208
695	25578	11172
696	25612	11134
697	25649	11097
698	25686	11061
699	25722	11023
700	25769	10991
701	25805	10954
702	25842	10917
703	25879	10880
704	25915	10844
705	25950	10806
706	25988	10770
707	26025	10733
708	26063	10697
709	26101	10661
710	26138	10624
711	26175	10587
712	26213	10551
713	26254	10516
714	26291	10479
715	26326	10442
716	26364	10406
717	26399	10368
718	26436	10331
719	26474	10295
720	26509	10257
721	26544	10220
722	26580	10183
723	26616	10146
724	26654	10110
725	26690	10073
726	26726	10036
727	26761	9998
728	26796	9961
729	26833	9924
730	26871	9888
731	26909	9852
732	26945	9814
733	26980	9777
734	27016	9740
735	27057	9705
736	27094	9668
737	27134	9633
738	27171	9596
739	27207	9559
740	27243	9522
741	27279	9485
742	27313	9447
743	27351	9411
744	27387	9374
745	27422	9336
746	27457	9299
747	27493	9262
748	27528	9225
749	27565	9188
750	27600	9151
751	27636	9114
752	27672	9077
753	27707	9039
754	27742	9002
755	27778	8965
756	27813	8928
757	27849	8891
758	27887	8854
759	27922	8817
760	27958	8780
761	27995	8743
762	28029	8706
763	28064	8669
764	28100	8632
765	28135	8594
766	28169	8557
767	28207	8520
768	28243	8484
769	28280	8447
770	28316	8410
771	28351	8373
772	28389	8336
773	28424	8299
774	28458	8262
775	28493	8224
776	28528	8187
777	28564	8150
778	28601	8114
779	28637	8077
780	28671	8039
781	28706	8002
782	28745	7966
783	28783	7930
784	28824	7894
785	28865	7859
786	28900	7821
787	28936	7784
788	28972	7747
789	29007	7710
790	29042	7673
791	29078	7636
792	29112	7599
793	29146	7561
794	29181	7524
795	29215	7487
796	29251	7450
797	29287	7413
798	29321	7376
799	29356	7339
800	29390	7301
801	29427	7265
802	29465	7228
803	29506	7193
804	29545	7156
805	29583	7120
806	29622	7084
807	29660	7048
808	29700	7012
809	29738	6975
810	29775	6939
811	29813	6902
812	29851	6866
813	29888	6829
814	29926	6793
815	29965	6756
816	30002	6720
817	30042	6684
818	30081	6648
819	30120	6611
820	30161	6575
821	30199	6539
822	30239	6503
823	30280	6467
824	30318	6431
825	30356	6394
826	30396	6358
827	30435	6322
828	30472	6285
829	30511	6249
830	30549	6212
831	30587	6176
832	30631	6140
833	30670	6104
834	30708	6068
835	30745	6031
836	30778	5993
837	30816	5957
838	30859	5921
839	30895	5884
840	30930	5847
841	30965	5810
842	30999	5773
843	31034	5736
844	31069	5699
845	31105	5662
846	31139	5624
847	31172	5587
848	31206	5550
849	31240	5513
850	31275	5475
851	31310	5438
852	31345	5401
853	31378	5364
854	31412	5327
855	31447	5290
856	31481	5252
857	31515	5215
858	31551	5179
859	31585	5141
860	31620	5104
861	31655	5067
862	31688	5030
863	31722	4993
864	31758	4956
865	31793	4919
866	31827	4882
867	31861	4845
868	31895	4808
869	31928	4770
870	31963	4733
871	31999	4697
872	32033	4660
873	32067	4623
874	32102	4586
875	32136	4548
876	32170	4511
